Source,Target
1,14
3,15
4,22
8,17
10,28
11,25
13,20
15,29
16,19
22,30
23,23
24,24
26,44
27,42
28,43
29,47
30,35
31,36
32,50
33,32
34,39
35,33
36,34
38,48
40,59
41,41
42,57
44,51
45,46
46,65
47,54
48,69
49,62
51,66
52,55
54,74
55,60
56,78
58,64
59,75
60,68
61,63
64,90
65,73
67,85
68,76
69,86
72,87
75,49
79,83
80,101
81,72
82,103
83,92
84,84
86,126
87,120
88,121
89,106
90,100
91,79
92,93
93,77
95,94
96,95
98,116
99,113
100,117
102,122
103,112
104,104
105,102
106,89
108,111
112,108
113,135
115,124
116,118
117,110
118,136
119,134
120,131
123,145
124,137
126,114
128,123
129,127
130,125
131,119
132,98
133,138
134,132
137,147
138,141
142,153
143,143
144,128
146,148
149,150
151,159
154,140
156,167
157,160
159,177
160,163
161,157
162,168
163,152
165,164
166,158
171,178
172,165
173,170
175,174
179,155
182,187
183,189
184,181
185,171
187,196
188,197
189,182
192,192
193,204
194,188
197,200
198,191
200,213
202,190
203,166
204,176
206,208
207,194
208,183
209,195
210,207
211,238
212,212
213,202
216,227
217,221
218,222
219,215
222,241
223,185
226,228
228,255
230,209
231,217
233,251
234,254
238,260
239,256
240,246
241,242
242,236
243,210
244,257
245,233
246,234
248,262
249,272
250,237
252,286
254,252
256,249
258,235
262,265
263,263
264,259
265,243
266,244
269,240
270,232
271,224
275,283
278,303
281,250
283,296
285,266
286,288
287,291
288,280
289,304
290,300
291,290
292,264
293,261
294,284
299,282
301,281
304,305
305,308
306,321
309,313
310,276
311,328
312,294
313,285
315,325
317,329
318,318
319,307
321,311
322,293
323,306
326,333
327,335
330,273
331,324
336,326
337,314
338,315
339,312
340,289
341,347
342,336
344,348
345,310
347,323
349,334
350,316
351,295
352,363
353,330
354,317
356,356
357,355
358,375
360,320
362,372
363,373
364,374
368,343
374,349
378,331
379,359
380,369
385,391
387,340
392,350
393,402
395,341
396,399
400,378
402,403
403,368
406,384
407,380
408,371
410,346
411,410
416,404
421,352
422,395
424,409
425,405
426,381
428,383
430,393
434,406
436,390
437,376
438,414
439,407
440,386
441,387
442,427
444,417
447,432
448,419
449,423
450,438
451,421
454,430
455,433
461,436
465,398
466,394
467,434
468,424
469,446
470,444
471,437
475,458
476,509
478,455
483,408
484,462
485,447
486,465
488,472
491,449
492,450
493,478
494,443
497,426
498,418
499,484
501,448
502,416
503,451
504,445
505,485
512,441
514,503
516,469
517,504
519,502
520,480
521,495
524,475
526,466
528,486
530,489
532,442
533,468
535,460
537,530
539,490
540,488
543,459
545,510
546,511
548,533
551,527
554,497
555,471
557,521
558,540
560,541
566,549
568,524
569,519
570,493
576,566
577,582
579,494
580,564
581,536
583,506
592,513
593,529
594,525
595,576
596,556
598,592
599,600
600,577
602,546
605,588
607,572
608,561
609,545
610,562
613,547
616,537
617,550
621,621
623,548
624,560
625,526
628,580
630,616
631,579
635,584
636,532
637,538
638,617
642,568
643,573
645,558
647,605
649,590
650,565
652,591
653,574
658,638
659,627
663,593
664,661
665,652
666,653
667,608
668,645
669,612
673,628
675,613
676,623
678,639
679,671
681,640
684,618
685,599
686,674
687,646
688,629
690,606
692,682
693,662
694,659
695,649
696,603
697,685
698,642
699,693
705,667
706,657
707,650
711,701
712,702
713,698
715,670
716,724
718,663
720,677
721,675
722,679
723,715
725,676
728,719
729,720
731,697
733,692
734,651
738,726
739,687
747,706
748,688
749,691
752,746
753,747
754,750
755,716
756,751
757,737
758,710
763,692
765,762
766,757
771,739
774,730
775,703
777,734
778,735
779,718
780,754
782,784
783,744
784,790
785,722
786,713
789,793
795,733
796,721
797,731
798,714
799,796
802,810
803,775
804,765
807,782
809,760
811,831
813,792
814,815
816,766
819,767
821,788
823,840
824,824
825,816
826,777
827,770
829,773
831,818
832,827
836,774
839,802
844,753
845,849
846,853
852,803
855,786
857,772
858,826
860,804
862,807
864,841
865,811
868,870
871,843
872,838
873,832
874,813
877,779
881,795
882,858
883,823
885,855
886,851
891,897
893,844
894,868
895,861
896,833
897,835
900,848
901,889
902,878
904,822
905,867
909,890
910,881
911,856
912,866
914,847
915,895
916,891
918,902
919,876
921,917
922,882
923,860
924,924
926,896
928,872
929,925
932,935
937,918
938,909
939,917
941,893
946,920
947,921
949,915
950,899
951,941
952,940
955,883
957,926
958,912
960,953
961,956
962,943
966,945
968,932
969,906
971,968
974,957
975,964
976,934
977,929
979,910
980,986
981,948
984,975
