Source,Target
2,76
4,77
5,72
8,36
10,85
11,86
14,23
15,87
17,95
18,78
19,47
20,48
21,105
23,90
24,106
25,88
27,91
28,43
29,123
30,54
31,108
32,66
33,58
34,53
37,107
38,44
42,119
43,120
44,116
46,63
47,67
49,73
50,117
53,144
55,149
56,150
57,82
58,71
59,131
60,139
61,146
62,74
63,145
64,156
65,80
66,154
69,61
70,152
72,143
73,172
74,140
76,151
78,96
80,92
81,79
83,84
84,161
88,174
89,160
90,169
91,101
92,81
95,162
97,187
98,97
99,163
100,125
102,188
104,178
105,126
107,183
108,184
109,175
110,121
112,170
113,93
114,180
117,204
118,190
119,197
121,111
124,205
125,189
127,118
129,127
131,208
134,129
135,201
136,198
141,202
145,211
148,216
151,215
152,213
153,142
155,220
157,225
158,212
161,217
163,177
167,158
170,221
171,195
176,168
177,199
178,171
181,260
182,203
183,281
184,269
185,261
186,253
191,316
192,265
193,192
194,186
196,285
197,200
198,222
200,214
201,209
204,303
207,300
208,246
211,229
214,306
215,230
219,374
220,233
221,283
222,236
223,347
224,279
227,210
228,348
230,378
232,272
233,262
234,239
235,231
236,286
237,259
239,404
240,340
241,301
242,276
243,370
245,219
246,391
248,292
255,307
256,263
257,248
259,408
261,277
262,359
263,317
266,255
267,240
268,318
269,293
270,266
271,312
272,251
274,371
276,244
278,335
281,372
282,329
284,323
287,398
289,313
290,428
291,345
292,319
293,308
294,294
295,271
297,384
298,399
299,245
300,314
303,280
304,405
305,388
306,249
307,465
308,466
309,409
310,357
311,350
312,324
313,268
315,309
316,412
319,273
320,427
323,339
324,264
326,426
327,297
328,302
329,274
331,351
336,358
340,488
341,436
342,410
343,343
344,510
345,515
347,422
350,451
351,434
352,320
355,501
357,373
361,476
362,482
364,368
366,432
367,429
369,331
371,295
372,547
373,474
374,457
376,423
377,392
378,369
379,467
380,381
381,552
384,361
386,452
387,453
389,558
390,530
391,445
392,397
393,458
394,407
395,333
396,494
397,462
401,559
403,446
404,435
406,491
409,364
410,489
411,425
412,363
414,483
416,583
417,519
419,539
420,603
421,502
423,437
424,564
426,477
427,433
429,495
431,470
433,394
434,543
438,604
440,532
442,463
443,504
444,490
448,455
450,550
451,377
453,634
455,533
456,527
457,486
458,450
461,516
463,468
465,395
466,628
467,647
468,560
471,469
472,448
474,478
476,484
477,487
479,544
481,442
484,570
485,475
487,492
488,417
492,561
493,553
496,577
497,534
498,493
501,523
503,460
504,673
507,545
508,471
512,653
514,596
515,524
519,571
520,473
523,589
524,584
525,507
527,691
528,669
529,590
530,548
532,701
533,688
538,618
539,508
540,464
541,708
542,514
544,485
545,692
548,555
550,498
557,499
561,610
566,538
567,619
571,709
573,541
574,730
575,563
576,752
577,757
583,542
584,526
587,528
588,706
589,681
590,664
591,658
592,573
595,529
596,612
597,580
599,799
600,758
601,622
603,536
604,680
605,585
606,595
607,745
608,581
610,567
611,788
612,557
614,801
618,694
620,586
621,722
622,638
623,568
626,819
627,712
628,648
629,831
633,813
634,716
636,800
637,723
638,732
639,666
640,626
641,620
644,805
646,607
647,592
649,724
650,711
651,672
652,575
653,725
654,600
655,821
656,783
658,616
663,632
666,649
667,587
669,777
670,734
672,698
675,654
676,848
679,641
680,764
681,683
682,639
683,869
685,599
686,864
687,852
689,677
690,667
691,659
692,621
693,740
695,785
696,873
697,809
698,719
701,627
702,901
703,824
705,633
706,806
707,720
708,656
711,774
712,876
713,793
714,684
716,781
717,726
719,651
720,893
721,829
722,756
723,738
725,657
728,644
729,918
731,881
732,877
733,843
734,747
736,727
739,914
740,882
741,836
743,748
744,906
745,856
747,835
749,802
750,943
751,807
753,671
754,837
755,786
756,760
757,761
760,682
761,942
762,919
763,679
764,934
766,766
769,874
772,782
773,957
774,944
777,996
780,717
781,958
783,888
786,896
790,838
792,728
793,934
794,945
796,771
797,989
799,870
800,763
802,903
803,861
804,857
805,811
806,979
808,911
809,859
810,768
813,969
814,938
815,865
816,1004
817,977
820,904
825,808
826,739
827,985
830,794
833,823
835,755
836,1009
837,1030
838,928
840,816
841,913
842,960
843,935
844,929
845,894
846,1045
847,1027
848,981
849,966
851,776
852,862
853,1050
856,1036
858,845
859,1017
860,907
861,830
865,846
866,986
869,796
870,1057
871,983
873,1005
877,1096
878,1068
879,1058
880,961
883,886
884,867
885,1042
886,970
887,982
889,963
890,897
891,889
892,885
895,826
896,866
898,818
899,1087
900,1010
902,1071
903,1020
904,992
905,1072
906,1081
907,1031
908,917
910,909
911,1048
912,998
913,925
917,972
919,908
921,1065
922,1021
925,1032
926,1118
928,895
929,868
930,1148
931,1049
932,948
933,937
934,1028
935,1029
937,1079
940,1093
941,973
944,1170
948,879
